ステータス,店舗コード,店舗名称,行番号,商品コード,商品分類,商品名,規格,パートナー,数量,入数,発注単価,POS原価,売価,取込番号,HT番号,売価（抜）,保証書対象区分,保証書対象区分名称,発注支援区分,発注支援区分名称
"0","00442","MEGAドン・キホーテ 渋谷本店","12","4100250006787","090105","ヒッチーズ　マーメイド","125g","223725",1,20,368,368,539,"312171385","010",499,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","13","4001686271285","090105","ハリボー　エアドロップ カシス","","223725",2,36,492,492,755,"312171385","010",699,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","14","4001686271292","090105","ハリボー　エアドロップ ミント","","223725",2,36,492,492,755,"312171385","010",699,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","15","4001686327722","090105","ハリボースイートスマーフ","175g","223725",2,20,390,432,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","16","4001686002421","090105","ハリボー　シュネッケンカラフルネイルズ","160g","223725",2,18,432,432,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","17","4001686120279","090105","ハリボー ミニコロラド","160g","223725",2,20,432,432,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","18","4001686009420","090105","HARIBO　パスタフルッタ","","223725",2,16,432,432,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","19","4001686725504","090105","ハリボーコロラド","175g","223725",2,17,390,432,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","20","4001686327814","090105","ハリボーフルーツマニアベリー","160g","223725",2,20,390,432,647,"312171385","010",599,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","21","8426617119508","090105","ハリボー　スパゲッティ　ストロベリー","","223725",2,30,822,822,1403,"312171385","010",1299,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","22","8426617119515","090105","ハリボー　スパゲッティ　コーラ","","223725",2,30,822,822,1403,"312171385","010",1299,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","23","9300682047500","090106","モルティザース　オリジナル","","223725",5,12,787,787,1383,"312171385","010",1280,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","24","9300682065382","090106","モルティザース　ハニー","","223725",2,12,787,787,1383,"312171385","010",1280,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","25","9300682065504","090106","モルティザース　ラズベリー","","223725",2,12,787,787,1383,"312171385","010",1280,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","26","8000300434163","090106","キットカットボール　ホワイト","","223725",2,30,792,792,1403,"312171385","010",1299,0,対象外,0,対象外
"0","00442","MEGAドン・キホーテ 渋谷本店","27","3800020492918","090106","キットカット　ボール","","223725",2,30,792,792,1403,"312171385","010",1299,0,対象外,0,対象外
